"train/global_step","qwen3vl_rl - _step","qwen3vl_rl - _step__MIN","qwen3vl_rl - _step__MAX","qwen3vl_rl - train/loss","qwen3vl_rl - train/loss__MIN","qwen3vl_rl - train/loss__MAX"
"415","2074","2074","2074","0","0","0"
"416","2079","2079","2079","0.0001","0.0001","0.0001"
"417","2084","2084","2084","0.0007","0.0007","0.0007"
"418","2089","2089","2089","-0.0023","-0.0023","-0.0023"
"419","2094","2094","2094","0","0","0"
"420","2099","2099","2099","0","0","0"
"421","2104","2104","2104","0","0","0"
"422","2109","2109","2109","-0.001","-0.001","-0.001"
"423","2114","2114","2114","-0.0017","-0.0017","-0.0017"
"424","2119","2119","2119","0","0","0"
"425","2124","2124","2124","0.0014","0.0014","0.0014"
"426","2129","2129","2129","0.0007","0.0007","0.0007"
"427","2134","2134","2134","0","0","0"
"428","2139","2139","2139","-0.0003","-0.0003","-0.0003"
"429","2144","2144","2144","-0.0003","-0.0003","-0.0003"
"430","2149","2149","2149","0","0","0"
"431","2154","2154","2154","-0.0006","-0.0006","-0.0006"
"432","2159","2159","2159","0","0","0"
"433","2164","2164","2164","-0.0017","-0.0017","-0.0017"
"434","2169","2169","2169","0.0014","0.0014","0.0014"
"435","2174","2174","2174","0.0007","0.0007","0.0007"
"436","2179","2179","2179","0","0","0"
"437","2184","2184","2184","-0.0027","-0.0027","-0.0027"
"438","2189","2189","2189","0.0004","0.0004","0.0004"
"439","2194","2194","2194","0","0","0"
"440","2199","2199","2199","-0.0006","-0.0006","-0.0006"
"441","2204","2204","2204","0","0","0"
"442","2209","2209","2209","0.0021","0.0021","0.0021"
"443","2214","2214","2214","0.0004","0.0004","0.0004"
"444","2219","2219","2219","-0.0044","-0.0044","-0.0044"
"445","2224","2224","2224","-0.0007","-0.0007","-0.0007"
"446","2229","2229","2229","-0.0007","-0.0007","-0.0007"
"447","2234","2234","2234","-0.0041","-0.0041","-0.0041"
"448","2239","2239","2239","0","0","0"
"449","2244","2244","2244","-0.0007","-0.0007","-0.0007"
"450","2249","2249","2249","0","0","0"
"451","2254","2254","2254","0.0014","0.0014","0.0014"
"452","2259","2259","2259","0","0","0"
"453","2264","2264","2264","0.0018","0.0018","0.0018"
"454","2269","2269","2269","0","0","0"
"455","2274","2274","2274","0.0004","0.0004","0.0004"
"456","2279","2279","2279","0.0052","0.0052","0.0052"
"457","2284","2284","2284","-0.0003","-0.0003","-0.0003"
"458","2289","2289","2289","0","0","0"
"459","2294","2294","2294","-0.0024","-0.0024","-0.0024"
"460","2299","2299","2299","-0.0055","-0.0055","-0.0055"
"461","2304","2304","2304","0.0017","0.0017","0.0017"
"462","2309","2309","2309","-0.0003","-0.0003","-0.0003"
"463","2314","2314","2314","0","0","0"
"464","2319","2319","2319","0.0024","0.0024","0.0024"
"465","2324","2324","2324","-0.0034","-0.0034","-0.0034"
"466","2329","2329","2329","0","0","0"
"467","2334","2334","2334","0.0014","0.0014","0.0014"
"468","2339","2339","2339","0","0","0"
"469","2344","2344","2344","0","0","0"
"470","2349","2349","2349","-0.0003","-0.0003","-0.0003"
"471","2354","2354","2354","-0.0031","-0.0031","-0.0031"
"472","2359","2359","2359","0","0","0"
"473","2364","2364","2364","0","0","0"
"474","2369","2369","2369","0.0003","0.0003","0.0003"
"475","2374","2374","2374","0","0","0"
"476","2379","2379","2379","0.0024","0.0024","0.0024"
"477","2384","2384","2384","0","0","0"
"478","2389","2389","2389","0","0","0"
"479","2394","2394","2394","-0.0003","-0.0003","-0.0003"
"480","2399","2399","2399","0.0024","0.0024","0.0024"
"481","2404","2404","2404","0","0","0"
"482","2409","2409","2409","0","0","0"
"483","2414","2414","2414","0","0","0"
"484","2419","2419","2419","0","0","0"
"485","2424","2424","2424","-0.0003","-0.0003","-0.0003"
"486","2429","2429","2429","0","0","0"
"487","2434","2434","2434","-0.0007","-0.0007","-0.0007"
"488","2439","2439","2439","0.0004","0.0004","0.0004"
"489","2444","2444","2444","0","0","0"
"490","2449","2449","2449","0","0","0"
"491","2454","2454","2454","-0.0003","-0.0003","-0.0003"
"492","2459","2459","2459","0.0045","0.0045","0.0045"
"493","2464","2464","2464","0","0","0"
"494","2469","2469","2469","0","0","0"
"495","2474","2474","2474","0.0024","0.0024","0.0024"
"496","2479","2479","2479","0","0","0"
"497","2484","2484","2484","-0.0003","-0.0003","-0.0003"
"498","2489","2489","2489","0.0007","0.0007","0.0007"
"499","2494","2494","2494","-0.0045","-0.0045","-0.0045"
"500","2499","2499","2499","0","0","0"
"501","2504","2504","2504","0","0","0"
